country_pair_cat,year,ln_fdi_instock,l_ln_origin_gdp_pc,l_ln_host_gdp_pc,l_ln_origin_pop,l_ln_host_pop,log_dist,l_origin_social_protect_gdp,l_host_social_protect_gdp
AUT_JPN,2009,3.5604918,10.579979,10.853383,18.668034,15.934353,9.120532,14.02792349,19.58206629
AUT_JPN,2010,2.963613,10.617788,10.778189,18.667908,15.936972,9.120532,15.84652534,21.23554083
AUT_JPN,2011,3.2822893,10.703417,10.754878,18.668087,15.939376,9.120532,15.98554543,21.39940439
AUT_JPN,2012,3.3896713,10.78245,10.846906,18.666235,15.942747,9.120532,16.67997535,20.69431497
AUT_MLT,2006,0.4822133,9.67,10.555894,12.908759,15.923033,7.2291646,13.15133026,20.23215577
AUT_MLT,2007,0.552159,9.72146,10.612392,12.912402,15.92798,7.2291646,13.26494673,19.85819445
AUT_MLT,2008,0.64743847,9.871768,10.754829,12.91589,15.931222,7.2291646,13.38159168,19.40548895
AUT_MLT,2009,0.5769962,9.995552,10.853383,12.922397,15.934353,7.2291646,13.31013202,19.58206629
AUT_MLT,2010,-1.4438683,9.936708,10.778189,12.929935,15.936972,7.2291646,14.18311566,21.23554083
AUT_MLT,2011,-2.475034,9.9564495,10.754878,12.934848,15.939376,7.2291646,13.72902552,21.39940439
AUT_MLT,2012,-1.7026621,10.035543,10.846906,12.939085,15.942747,7.2291646,13.80398414,20.69431497
AUT_NLD,2004,4.0660563,10.482127,10.380432,16.602083,15.910016,6.8403144,15.63230046,20.97219299
AUT_NLD,2005,4.395569,10.605654,10.513838,16.605556,15.91622,6.8403144,15.48803482,20.56136148
AUT_NLD,2006,4.6960487,10.644926,10.555894,16.607893,15.923033,6.8403144,15.06853542,20.23215577
AUT_NLD,2007,4.7148643,10.711376,10.612392,16.6095,15.92798,6.8403144,14.69123046,19.85819445
AUT_NLD,2008,4.454652,10.85386,10.754829,16.611675,15.931222,6.8403144,14.41994929,19.40548895
AUT_NLD,2009,4.5762706,10.9620495,10.853383,16.615568,15.934353,6.8403144,14.72733228,19.58206629
AUT_NLD,2010,4.3670855,10.868835,10.778189,16.62071,15.936972,6.8403144,16.38206139,21.23554083
AUT_NLD,2011,4.369071,10.838601,10.754878,16.62584,15.939376,6.8403144,16.74674235,21.39940439
AUT_NLD,2012,4.5034485,10.899686,10.846906,16.630505,15.942747,6.8403144,16.74997963,20.69431497
AUT_NOR,2004,0.5881286,10.822009,10.380432,15.333898,15.910016,7.2091174,17.95089321,20.97219299
AUT_NOR,2005,0.7963265,10.960762,10.513838,15.339807,15.91622,7.2091174,17.18542454,20.56136148
AUT_NOR,2006,1.0795695,11.10909,10.555894,15.346618,15.923033,7.2091174,15.96301751,20.23215577
AUT_NOR,2007,0.62766653,11.213369,10.612392,15.3546715,15.92798,7.2091174,15.138222,19.85819445
AUT_NOR,2008,1.0107032,11.352415,10.754829,15.365019,15.931222,7.2091174,15.20276679,19.40548895
AUT_NOR,2009,-0.038189437,11.482548,10.853383,15.377482,15.934353,7.2091174,14.97040395,19.58206629
AUT_NOR,2010,0.07400249,11.290621,10.778189,15.390093,15.936972,7.2091174,17.57294141,21.23554083
AUT_NOR,2011,1.2221442,11.382478,10.754878,15.40255,15.939376,7.2091174,17.38817977,21.39940439
AUT_NOR,2012,1.4461213,11.520013,10.846906,15.415522,15.942747,7.2091174,17.17232632,20.69431497
AUT_POL,2004,-1.5197508,8.647059,10.380432,17.458466,15.910016,6.32225,18.90901138,20.97219299
AUT_POL,2005,-1.6885802,8.80705,10.513838,17.45788,15.91622,6.32225,17.58158115,20.56136148
AUT_POL,2006,-3.4690304,8.989819,10.555894,17.457441,15.923033,6.32225,17.08798955,20.23215577
AUT_POL,2007,-0.3351442,9.109274,10.612392,17.456808,15.92798,6.32225,16.81267513,19.85819445
